Command,X,Y,Z,F,Delay_ms,Cell_ID
A0,-105.61,-17.36,0.00,,,4
A1,-94.39,-30.17,1.52,2924,513,13
A0,-116.82,-52.60,0.00,,,20
A1,-106.41,-49.67,1.48,6000,250,12
A1,-94.93,-45.13,1.54,6912,217,13
A1,-95.46,-63.82,2.78,2304,651,21
A1,-94.39,-87.05,3.04,6912,217,29
A1,-94.13,-115.89,3.05,7500,200,37
A1,-93.59,-135.11,2.84,10000,150,45
A1,-94.39,-163.95,2.53,6000,250,53
A1,-95.19,-179.71,2.82,2140,701,61
A1,-102.14,-177.57,1.82,5618,267,60
A1,-112.55,-164.49,0.00,14423,104,52
A0,-161.95,-97.20,0.00,,,26
A1,-157.68,-100.13,1.35,9740,154,34
A1,-152.60,-98.80,1.68,3676,408,26
A1,-136.58,-91.86,1.74,6000,250,27
A1,-121.63,-87.58,3.04,1022,1468,28
A1,-125.63,-98.00,2.50,7500,200,27
A1,-132.04,-111.88,1.74,10000,150,35
A1,-148.60,-132.71,0.74,10000,150,43
A1,-159.01,-141.52,0.42,30000,50,42
A0,-46.60,-67.82,0.00,,,23
A1,-51.67,-72.63,1.68,4732,317,22
A1,-63.68,-79.31,1.08,15000,100,30
A1,-82.38,-88.92,0.00,18072,83,29
A0,-98.40,-88.92,0.00,,,29
A1,-75.97,-103.07,1.78,10000,150,37
A1,-65.82,-112.68,2.00,15000,100,38
A1,-52.74,-126.84,2.21,10000,150,46
A1,-39.39,-141.79,2.25,7500,200,47
A1,-10.28,-146.86,0.19,2308,650,48